interactor_A	interactor_B
Q8LAA6	P93004
Q8LAA6	Q84JZ7
Q8VZW1	Q8LAA6
Q94F58	Q8LAA6
Q8LAA6	Q9SV31
Q9ZV07	Q8LAA6
Q9ZVX8	Q8LAA6
Q8LAF9	Q8VZW1
Q8LAF9	F4JN35
Q8LAF9	Q94BX2
Q9FZK5	Q8LAF9
Q8LAS7	O22932
Q94C40	Q8LAS7
Q8LAS7	Q9C562
Q9LZW4	Q8LAS7
Q9MAM1	Q8LAS7
Q9SN43	Q8LAS7
Q8LAS7	Q9T0I8
Q8LB17	O04326
O64425	Q8LB17
Q84JZ7	Q8LB17
Q8RUS5	Q8LB17
Q8LB17	Q8VZ95
F4JN35	Q8LB17
Q8LB17	Q9FFS0
Q9SS37	Q8LB17
Q8LB88	Q8LAZ7
Q8LB88	O82754
Q8LB88	Q8VZS6
Q8LB88	Q9C9L2
Q8LB88	Q9LNR3
Q8LB89	O22286
Q8LB89	Q058I4
Q38829	Q8LBH4
Q8LBH4	Q949W6
Q38822	Q8LBK6
Q84JD6	Q8LBK6
Q8LBK6	Q8GTS1
Q8LBK6	Q8GY51
Q8GZ06	Q8LBK6
Q8LBK6	Q8L745
Q93XX2	Q8LBK6
Q9LD47	Q8LBK6
Q94JQ3	Q8LBK6
Q8LBK6	Q9FIC3
Q9FNP4	Q8LBK6
Q8LBK6	Q9LYU8
Q8LBK6	Q9M315
Q94AI7	Q8LBM2
Q8LBK6	Q8LBM4
Q8LBM4	Q8S3U9
Q8LBP6	Q8GXX5
Q8LBP6	B9DGI8
Q9LII8	Q8LBS4
Q8LBV4	Q9LII2
Q9SZZ4	Q8LBV4
Q8LC91	Q949M9
Q8L745	Q8LCE4
Q8LCV1	Q9C9L2
Q8LCV1	Q9LVG2
Q8LD39	Q9LII8
Q8LD39	Q9SCK1
Q8LD43	Q94F58
Q8LDK7	Q8VZW1
Q8LDK7	F4JN35
Q94F58	Q8LDK7
Q8LDW8	Q9SZZ4
Q94BT0	Q8LE47
Q8LE56	Q8LAZ7
Q9LNT9	Q8LEA8
Q8LEB2	Q8LEB2
Q8LEB7	O82230
Q9M2U8	Q8LEB7
Q9SYG2	Q8LEB7
Q8LEF3	Q8RWZ3
Q8VZW1	Q8LEK2
Q8LEK2	Q93VH1
Q8LEK2	Q94F58
Q9SUT9	Q8LEK2
Q9STS3	Q8LEL0
Q8LEQ4	Q8VZ95
Q8LEQ4	Q8VZW1
Q94F58	Q8LEQ4
Q8LEQ4	Q9FZK5
Q8LES5	Q8GY82
Q8LES5	Q9ASS9
Q8LEW6	F4JN35
Q8LEW6	Q94F58
O04326	Q8LF05
Q0WV96	Q8LF05
Q8LF05	Q8VZW1
Q8LF05	F4JN35
Q94F58	Q8LF05
Q9FFS0	Q8LF05
Q8LF05	Q9FZK5
O23249	Q8LF80
O22768	Q8LF89
Q8LF89	Q84MB2
Q8GXX5	Q8LF89
Q8L7G9	Q8LF89
Q93WJ9	Q8LF89
Q93Z00	Q8LF89
Q8LF89	Q9LVI4
Q8LF89	Q9S7L6
Q8LF89	Q9S7W5
Q8LF89	Q9SK03
F4KEV7	Q8LFC0
Q8GYA2	Q8LFC0
Q8LFC0	Q945K7
Q8LFC0	Q9CAT7
Q94F58	Q8LFH5
Q8LFH5	Q9FFS0
Q8LFJ5	Q96331
