interactor_A	interactor_B
P39987	P41697
P39987	P53280
P39987	P53333
P39987	Q12743
P39987	Q04089
P39987	P40487
P39987	P32461
P39987	Q05567
P32353	P39987
P39987	P32481
P53192	P39987
P39987	P11353
P39987	P38286
P47031	P39987
P39987	Q12358
Q08979	P39987
P39987	P40540
P39987	Q3E840
P39987	P38439
P38203	P39987
Q06211	P39987
P39987	P32335
Q07896	P39987
P39987	P38826
P48439	P39987
P35994	P39987
P39987	Q04264
P08468	P39987
P16861	P39987
Q04636	P39987
P39987	P21951
P39987	P23594
P39987	P23595
P32345	P39987
P39987	P53131
P06103	P39987
Q08647	P39987
P06777	P39987
P39987	Q04231
P39987	P12753
P39987	P22336
P39987	P21524
P39987	P51862
P39987	P47076
P07703	P39987
P39987	P38249
P38764	P39987
P40571	P39987
P02365	P39987
Q05636	P39987
P39987	P32608
P47050	P39987
P32558	P39987
P39987	P47154
P34160	P39987
P38992	P39987
Q06339	P39987
P39987	P10081
P39987	P38426
P39987	Q03337
P36164	P39987
P53076	P39987
P38317	P39987
P53262	P39987
Q03079	P39987
P38355	P39987
P25303	P39987
P22202	P39987
P39987	Q07622
P46680	P39987
P39987	Q12013
P47771	P39987
P39987	Q02804
P39987	P53946
P39987	Q03862
P39987	P38316
Q02887	P39987
P39987	Q08235
P53755	P39987
P41695	P39987
P25558	P39987
Q08754	P39987
Q08920	P39987
P39987	P09798
P39987	P00549
P39987	P15436
P39987	P06101
P15790	P39987
P23287	P39987
P33313	P39987
P36034	P39987
P53691	P39987
P47103	P39987
Q06440	P39987
P39987	Q04659
P39987	P29029
P39987	Q06218
Q08949	P39987
Q03921	P39987
P39987	P53911
P39987	Q04217
Q04409	P39987
P39987	Q12691
Q03769	P39987
P39987	Q05359
P39987	Q03661
Q06340	P39987
P39987	P14540
P38260	P39987
P39987	P25653
P41813	P39987
P15624	P39987
P39987	P13045
P28007	P39987
P41913	P39987
P39987	P38817
P39987	P41911
P39987	Q12341
P53834	P39987
P39987	P51979
P39987	P61830
Q05080	P39987
P39987	Q08109
P39987	P49955
P39987	P38274
P39987	P04911
P39987	P04912
P07342	P39987
P39987	P50094
Q04213	P39987
P39987	P22147
P39987	P25579
Q12122	P39987
P53341	P39987
P32389	P39987
P39987	P05694
Q04922	P39987
P39987	P09440
P53141	P39987
P53745	P39987
P39987	P07266
P38590	P39987
P47047	P39987
Q02866	P39987
P25293	P39987
P50086	P39987
P53261	P39987
P39987	P35172
P39987	P32336
P39937	P39987
P37304	P39987
P39987	P08018
P39987	P42841
P20052	P39987
P39987	P53191
P53252	P39987
P23639	P39987
P39987	P20457
P39987	P33203
P25043	P39987
P39987	P52489
P39987	P32641
P25454	P39987
P21538	P39987
P14284	P39987
P39987	P26754
P39987	P40395
P23796	P39987
Q02555	P39987
Q02805	P39987
P39987	P22138
P28000	P39987
P39987	P36160
Q02773	P39987
P39987	Q04062
Q3E7Y3	P39987
P39939	P39987
P33298	P39987
P39987	Q05543
Q07794	P39987
P25343	P39987
P39987	P53969
P40856	P39987
P39987	P28707
P39987	P40090
P39987	P40509
P38968	P39987
O94742	P39987
P36124	P39987
P39987	P51534
P21691	P39987
P39987	Q08491
P39987	Q12469
P39987	P38283
Q12098	P39987
P38989	P39987
Q12749	P39987
Q02260	P39987
Q12330	P39987
Q04964	P39987
P39987	P32909
P25357	P39987
Q12420	P39987
Q08817	P39987
P39987	P23201
P39986	P39987
P27692	P39987
P32569	P39987
P32585	P39987
