rt9540	hu10614	mo9556
rt9872	hu2838	mo10188
rt6013	hu6442	mo4143
mo11154	rt6431	hu3396
hu4274	rt926	mo7639
mo195	rt8912	hu1538
hu11205	mo6906
hu3996	mo2874
mo13417	rt4583	hu12009
hu14482	rt4911	mo16949
rt2091	hu6295	mo4776
hu59	rt1808	mo4623
mo2490	rt15000	hu1568
hu5333	mo9280
rt1087	hu16544	mo12639
mo3161	rt1933	hu6641
rt6116	mo6580	hu7707
rt14693	hu10368	mo8324
hu4686	mo16710
hu16792	mo10880
hu533	rt2887	mo1528
hu12291	rt10144	mo2198
rt13099	mo1550
rt14448	hu11953	mo3035
hu14874	mo14662
rt13981	mo12571
rt10563	hu2683	mo4798
hu10351	mo9278
mo14836	rt14096	hu15973
rt9483	hu10035	mo4581
mo10544	rt11874	hu13046
mo11381	rt6100	hu945
hu11990	rt1074	mo4919
rt14053	hu17607
hu15218	mo14760
rt13839	mo8683
mo738	rt2526	hu1057
hu16075	mo16663
mo13999	rt10948	hu12064
mo3529	rt1755	hu9886
hu15971	mo3540
mo15890	hu2784
mo7645	rt5445	hu9734
hu5862	rt1943	mo6869
mo4057	rt11800	hu12522
hu12707	mo10897
rt13308	hu17945
mo3415	rt6345	hu11293
hu103	mo1505
hu1642	rt2702	mo1780
hu16466	mo16657
hu15651	rt10613	mo12869
rt7252	hu10025	mo11097
rt3374	hu13704
hu10294	rt11857	mo9781
mo7557	rt10186	hu12664
hu3988	rt733	mo3723
mo384	rt1881	hu683
mo5038	rt11649	hu4233
rt14996	mo9891
mo1068	rt3510	hu1738
hu3030	mo10353
rt1485	hu3921	mo11769
hu12277	rt8561	mo12432
hu13676	mo13668
mo12175	rt11865	hu16845
mo1822	rt6404	hu4824
mo6594	rt8152	hu3504
hu9771	mo14769
rt4493	hu8431	mo10674
rt8841	hu14291	mo6223
rt6558	hu216	mo1310
rt9529	hu2005	mo3679
mo2927	rt5085	hu4371
hu15633	mo15508
hu5317	mo16982
rt12877	hu10482	mo8982
mo4548	rt1627	hu5279
hu9692	mo7467
hu8799	mo6853
mo13554	rt60	hu5177
rt14706	hu13713
rt5195	hu3219	mo4219
mo1589	rt4410	hu9622
rt10775	hu15629	mo13515
mo14798	rt12476	hu13895
hu2298	rt12120	mo8898
hu4602	rt7571	mo12129
hu11233	rt11787	mo16527
hu10053	mo7167
mo4443	rt2767	hu12061
rt1672	hu400	mo120
rt13173	hu13301	mo11831
hu13171	mo16718
rt6242	hu13846	mo6524
rt7726	hu9252	mo1166
hu17057	rt14389	mo15606
rt9630	hu2587	mo9629
hu17234	mo16500
rt6262	hu10702
rt7932	hu9573	mo8210
hu15449	rt10026	mo12515
mo12809	hu11812	rt12261
rt3698	hu8439	mo9884
mo14712	rt14903	hu13626
rt13706	hu16687	mo16950
hu5477	mo8510
rt5474	hu11927	mo6062
rt5148	hu1418	mo9619
rt11039	hu17831	mo16545
mo10912	rt13799	hu11707
mo5204	rt4513	hu7232
hu17998	mo15667
hu829	rt1974	mo7568
hu15817	mo15474
hu2156	mo14741
hu16207	rt12799	mo14178
hu9401	mo15065
mo16023	rt8771	hu17631
rt14555	mo10105
mo12440	rt7978	hu16167
mo7044	rt15122	hu17915
rt545	hu13711	mo15083
mo12482	hu4366
rt14285	mo13985
hu17114	mo13613
rt7717	hu16181	mo8794
hu15062	rt6535	mo10193
mo7774	rt13602	hu12966
hu15155	rt5771	mo1994
hu2602	mo16489
mo12087	rt9487	hu9405
rt7145	hu6982	mo2802
rt2252	hu1114	mo5077
mo8947	rt12433	hu4641
rt11015	hu6361	mo5468
rt14209	mo14412
rt15548	mo16375
hu3895	rt6163	mo2618
rt1782	hu9671	mo10901
mo930	rt295	hu7806
rt11499	hu12515	mo13423
hu8541	rt2625	mo9715
mo1146	rt13590	hu13100
hu4451	mo15905
rt6635	hu3711	mo6716
mo7928	rt10652	hu11633
rt148	hu11125	mo9535
hu17800	mo8996
rt4722	hu916	mo7411
rt12164	hu1604	mo10136
rt1581	hu5456	mo2964
hu419	rt2587	mo858
rt3089	hu6635	mo4067
mo917	rt6713	hu128
mo7716	rt12010	hu10497
hu14436	rt12950	mo14625
rt8788	mo11152
mo11276	rt5864	hu13690
hu12721	rt12481	mo5719
mo4145	rt6283	hu303
mo7966	rt8161	hu6192
hu10870	rt4157	mo1569
hu5461	rt15298	mo2421
hu2144	rt2883	mo5365
rt10703	mo14247
mo4894	rt6802	hu3596
rt8008	hu8379	mo5165
hu15765	mo13729
mo2324	hu14101
rt5031	hu7661	mo3406
hu8149	rt6210	mo2438
rt9379	hu5392	mo8119
rt14715	hu13436	mo13328
rt6549	hu10199	mo11364
mo7857	rt8718	hu6910
rt14650	hu17217	mo13377
rt8930	hu9318	mo9308
rt8096	hu3348	mo5908
hu4359	rt5074	mo12086
rt5208	mo11193
rt751	hu11121	mo9121
mo5545	rt10350	hu8943
hu4615	mo11953
hu2725	rt536	mo2131
rt3604	hu5417	mo3751
mo3176	rt3489	hu5939
hu7208	rt7829	mo8365
rt9076	hu9523	mo1774
hu16275	mo9634
hu3868	rt1730	mo2389
mo13786	rt14267	hu15862
mo6050	rt1278	hu5824
mo13981	rt1365	hu16012
rt13581	mo15928
mo4475	rt1139	hu2000
mo4360	rt2761	hu7313
hu7631	mo5188
rt9698	hu4758
rt12714	mo9696
mo7412	rt4753	hu1909
mo5457	rt10784	hu14437
hu3907	rt781	mo4962
rt1363	hu15854	mo723
hu15399	rt12648	mo2900
